yourlist:M201812188471C63D39733769F8E060B506551E1201F3EBJ	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
131909	Q86U10	LPP60_HUMAN	reviewed	60 kDa lysophospholipase (EC 3.1.1.5) [Includes: L-asparaginase (EC 3.5.1.1) (L-asparagine amidohydrolase); Platelet-activating factor acetylhydrolase (PAF acetylhydrolase) (EC 3.1.1.47)]	ASPG C14orf76	Homo sapiens (Human)	573
131910	Q8N6V9	TEX9_HUMAN	reviewed	Testis-expressed protein 9	TEX9	Homo sapiens (Human)	391
131912	Q2M1P5	KIF7_HUMAN	reviewed	Kinesin-like protein KIF7	KIF7 UNQ340/PRO539	Homo sapiens (Human)	1343
131914	Q8N4P3	MESH1_HUMAN	reviewed	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1 (EC 3.1.7.2) (HD domain-containing protein 3) (Metazoan SpoT homolog 1) (MESH1) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) ((ppGpp)ase)	HDDC3 MESH1	Homo sapiens (Human)	179
131919	Q6URK8	TEPP_HUMAN	reviewed	Testis, prostate and placenta-expressed protein	TEPP	Homo sapiens (Human)	271
131920	Q8N4L4	SPEM1_HUMAN	reviewed	Spermatid maturation protein 1	SPEM1 C17orf83	Homo sapiens (Human)	309
131923	Q9BXX2	AN30B_HUMAN	reviewed	Ankyrin repeat domain-containing protein 30B (Serologically defined breast cancer antigen NY-BR-1.1)	ANKRD30B	Homo sapiens (Human)	1392
131925	O43861	ATP9B_HUMAN	reviewed	Probable phospholipid-transporting ATPase IIB (EC 7.6.2.1) (ATPase class II type 9B)	ATP9B ATPIIB NEO1L HUSSY-20	Homo sapiens (Human)	1147
131927	Q7Z5J1	DHI1L_HUMAN	reviewed	Hydroxysteroid 11-beta-dehydrogenase 1-like protein (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type 3) (11-DH3) (11-beta-HSD3) (Short chain dehydrogenase/reductase family 26C member 2) (Short-chain dehydrogenase/reductase 10)	HSD11B1L HSD3 SCDR10 SDR26C2	Homo sapiens (Human)	315
131928	Q8NA69	TEX45_HUMAN	reviewed	Testis-expressed protein 45	TEX45 C19orf45	Homo sapiens (Human)	505
131929	Q32M78	ZN699_HUMAN	reviewed	Zinc finger protein 699 (Hangover homolog)	ZNF699	Homo sapiens (Human)	642
131930	Q6UW68	TM205_HUMAN	reviewed	Transmembrane protein 205	TMEM205 UNQ501/PRO1018	Homo sapiens (Human)	189
131931	A6XGL0	YJEN3_HUMAN	reviewed	YjeF N-terminal domain-containing protein 3 (YjeF_N3) (hYjeF_N3)	YJEFN3	Homo sapiens (Human)	299
131933	Q6UWP8	SBSN_HUMAN	reviewed	Suprabasin	SBSN UNQ698/PRO1343	Homo sapiens (Human)	590
131934	Q3KNS6	ZN829_HUMAN	reviewed	Zinc finger protein 829	ZNF829	Homo sapiens (Human)	432
131935	Q3ZCX4	ZN568_HUMAN	reviewed	Zinc finger protein 568	ZNF568	Homo sapiens (Human)	644
131938	Q86XI8	ZSWM9_HUMAN	reviewed	Uncharacterized protein ZSWIM9	ZSWIM9 C19orf68	Homo sapiens (Human)	627
131939	Q6PK81	ZN773_HUMAN	reviewed	Zinc finger protein 773 (Zinc finger protein 419B)	ZNF773 ZNF419B	Homo sapiens (Human)	442
131941	Q7Z572	SPT21_HUMAN	reviewed	Spermatogenesis-associated protein 21	SPATA21	Homo sapiens (Human)	469
131942	Q8N300	SVBP_HUMAN	reviewed	Small vasohibin-binding protein (Coiled coil domain-containing protein 23)	SVBP CCDC23	Homo sapiens (Human)	66
131945	Q8NAN2	MIGA1_HUMAN	reviewed	Mitoguardin 1 (Protein FAM73A)	MIGA1 FAM73A	Homo sapiens (Human)	632
131950	Q5VY43	PEAR1_HUMAN	reviewed	Platelet endothelial aggregation receptor 1 (hPEAR1) (Multiple epidermal growth factor-like domains protein 12) (Multiple EGF-like domains protein 12)	PEAR1 MEGF12	Homo sapiens (Human)	1037
131951	O95562	SFT2B_HUMAN	reviewed	Vesicle transport protein SFT2B (SFT2 domain-containing protein 2)	SFT2D2 UNQ512/PRO1027	Homo sapiens (Human)	160
131952	Q5JRA6	TGO1_HUMAN	reviewed	Transport and Golgi organization protein 1 homolog (TANGO1) (C219-reactive peptide) (D320) (Melanoma inhibitory activity protein 3)	MIA3 KIAA0268 TANGO UNQ6077/PRO20088	Homo sapiens (Human)	1907
131954	Q96GI7	FA89A_HUMAN	reviewed	Protein FAM89A	FAM89A C1orf153	Homo sapiens (Human)	184
131962	A6QL64	AN36A_HUMAN	reviewed	Ankyrin repeat domain-containing protein 36A	ANKRD36 ANKRD36A KIAA1641 UNQ2430/PRO499	Homo sapiens (Human)	1941
131968	Q49MI3	CERKL_HUMAN	reviewed	Ceramide kinase-like protein	CERKL	Homo sapiens (Human)	558
131969	Q7Z7H3	CATIP_HUMAN	reviewed	Ciliogenesis-associated TTC17-interacting protein	CATIP C2orf62	Homo sapiens (Human)	387
131972	Q7Z7J7	LHPL4_HUMAN	reviewed	LHFPL tetraspan subfamily member 4 protein (GABAA receptor regulatory Lhfpl4) (Lipoma HMGIC fusion partner-like 4 protein)	LHFPL4 GARLH4	Homo sapiens (Human)	247
131973	Q8N9V7	TOPZ1_HUMAN	reviewed	Protein TOPAZ1 (Testis- and ovary-specific PAZ domain-containing protein 1)	TOPAZ1 C3orf77	Homo sapiens (Human)	1692
131974	Q6ZUJ4	CC062_HUMAN	reviewed	Uncharacterized protein C3orf62	C3orf62	Homo sapiens (Human)	267
131978	Q86YC3	LRC33_HUMAN	reviewed	Transforming growth factor beta activator LRRC33 (Leucine-rich repeat-containing protein 33) (Negative regulator of reactive oxygen species)	NRROS LRRC33 UNQ3030/PRO9833	Homo sapiens (Human)	692
131979	Q96MH7	CE034_HUMAN	reviewed	Uncharacterized protein C5orf34	C5orf34	Homo sapiens (Human)	638
131980	O15021	MAST4_HUMAN	reviewed	Microtubule-associated serine/threonine-protein kinase 4 (EC 2.7.11.1)	MAST4 KIAA0303	Homo sapiens (Human)	2623
131981	Q8NDZ2	SIMC1_HUMAN	reviewed	SUMO-interacting motif-containing protein 1	SIMC1 C5orf25	Homo sapiens (Human)	872
131983	Q6PEY0	CXB7_HUMAN	reviewed	Gap junction beta-7 protein (Connexin-25) (Cx25)	GJB7 CX25	Homo sapiens (Human)	223
131985	Q86UV7	TRI73_HUMAN	reviewed	Tripartite motif-containing protein 73 (Tripartite motif-containing protein 50B)	TRIM73 TRIM50B	Homo sapiens (Human)	250
131987	Q8N8M0	NAT16_HUMAN	reviewed	Probable N-acetyltransferase 16 (EC 2.3.1.-)	NAT16 C7orf52	Homo sapiens (Human)	369
131991	Q76KD6	SPERI_HUMAN	reviewed	Speriolin (Spermatogenesis and centriole-associated protein 1) (Spermatogenesis-associated protein 15) (Spermatogenic cell-specific Cdc20-binding protein)	SPATC1 SPATA15 SPRN	Homo sapiens (Human)	591
131995	Q7Z6K3	PTAR1_HUMAN	reviewed	Protein prenyltransferase alpha subunit repeat-containing protein 1	PTAR1	Homo sapiens (Human)	402
131996	Q5T890	ER6L2_HUMAN	reviewed	DNA excision repair protein ERCC-6-like 2 (EC 3.6.4.-) (DNA repair and recombination protein RAD26-like)	ERCC6L2 C9orf102 RAD26L	Homo sapiens (Human)	1561
131997	Q1ZZU3	SWI5_HUMAN	reviewed	DNA repair protein SWI5 homolog (HBV DNAPTP1-transactivated protein A) (Protein SAE3 homolog)	SWI5 C9orf119 SAE3	Homo sapiens (Human)	235
131998	Q5SZB4	CI050_HUMAN	reviewed	Uncharacterized protein C9orf50	C9orf50	Homo sapiens (Human)	431
131999	Q6ZV29	PLPL7_HUMAN	reviewed	Patatin-like phospholipase domain-containing protein 7 (EC 3.1.1.-)	PNPLA7 C9orf111	Homo sapiens (Human)	1317
132000	O00468	AGRIN_HUMAN	reviewed	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	AGRN AGRIN	Homo sapiens (Human)	2068
132001	A8MQ03	CRTP1_HUMAN	reviewed	Cysteine-rich tail protein 1	CYSRT1 C9orf169	Homo sapiens (Human)	144
132004	Q5BKY1	LRC10_HUMAN	reviewed	Leucine-rich repeat-containing protein 10	LRRC10	Homo sapiens (Human)	277
132005	P59190	RAB15_HUMAN	reviewed	Ras-related protein Rab-15	RAB15	Homo sapiens (Human)	212
132009	Q6PCB7	S27A1_HUMAN	reviewed	Long-chain fatty acid transport protein 1 (FATP-1) (Fatty acid transport protein 1) (EC 6.2.1.-) (Solute carrier family 27 member 1)	SLC27A1 ACSVL5 FATP1	Homo sapiens (Human)	646
132014	P61129	ZC3H6_HUMAN	reviewed	Zinc finger CCCH domain-containing protein 6	ZC3H6 KIAA2035 ZC3HDC6	Homo sapiens (Human)	1189
132016	Q7RTY3	PRS45_HUMAN	reviewed	Serine protease 45 (EC 3.4.21.-) (Testis serine protease 5)	PRSS45 TESSP5	Homo sapiens (Human)	260
132019	Q6R6M4	U17L2_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17 (USP17) (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 2) (Deubiquitinating protein 3) (DUB-3) (Ubiquitin carboxyl-terminal hydrolase 17-like protein 2) (Ubiquitin thioesterase 17-like protein 2) (Ubiquitin-specific-processing protease 17-like protein 2)	USP17L2 DUB3 USP17 USP17H USP17I USP17J USP17K USP17L USP17M	Homo sapiens (Human)	530
132031	Q86UV6	TRI74_HUMAN	reviewed	Tripartite motif-containing protein 74 (Tripartite motif-containing protein 50C)	TRIM74 TRIM50C	Homo sapiens (Human)	250
132044	Q8N2Z9	CENPS_HUMAN	reviewed	Centromere protein S (CENP-S) (Apoptosis-inducing TAF9-like domain-containing protein 1) (FANCM-associated histone fold protein 1) (FANCM-interacting histone fold protein 1) (Fanconi anemia-associated polypeptide of 16 kDa)	CENPS APITD1 FAAP16 MHF1	Homo sapiens (Human)	138
132049	Q7RTX7	CTSR4_HUMAN	reviewed	Cation channel sperm-associated protein 4 (CatSper4)	CATSPER4	Homo sapiens (Human)	472
132073	Q6VVB1	NHLC1_HUMAN	reviewed	E3 ubiquitin-protein ligase NHLRC1 (EC 2.3.2.27) (Malin) (NHL repeat-containing protein 1) (RING-type E3 ubiquitin transferase NHLRC1)	NHLRC1 EPM2B	Homo sapiens (Human)	395
394227	A8MUX0	KR161_HUMAN	reviewed	Keratin-associated protein 16-1	KRTAP16-1 KAP16.1	Homo sapiens (Human)	517
132113	Q6ZWB6	KCTD8_HUMAN	reviewed	BTB/POZ domain-containing protein KCTD8	KCTD8	Homo sapiens (Human)	473
132114	Q8WVF5	KCTD4_HUMAN	reviewed	BTB/POZ domain-containing protein KCTD4	KCTD4	Homo sapiens (Human)	259
132126	P60409	KR107_HUMAN	reviewed	Keratin-associated protein 10-7 (High sulfur keratin-associated protein 10.7) (Keratin-associated protein 10.7) (Keratin-associated protein 18-7) (Keratin-associated protein 18.7)	KRTAP10-7 KAP10.7 KAP18-7 KRTAP10.7 KRTAP18-7 KRTAP18.7	Homo sapiens (Human)	370
132128	P60331	KR101_HUMAN	reviewed	Keratin-associated protein 10-1 (High sulfur keratin-associated protein 10.1) (Keratin-associated protein 10.1) (Keratin-associated protein 18-1) (Keratin-associated protein 18.1)	KRTAP10-1 KAP10.1 KAP18-1 KRTAP10.1 KRTAP18-1 KRTAP18.1	Homo sapiens (Human)	282
132127,132129	P60411	KR109_HUMAN	reviewed	Keratin-associated protein 10-9 (High sulfur keratin-associated protein 10.9) (Keratin-associated protein 10.9) (Keratin-associated protein 18-9) (Keratin-associated protein 18.9)	KRTAP10-9 KAP10.9 KAP18-9 KRTAP10.9 KRTAP18-9 KRTAP18.9	Homo sapiens (Human)	292
132129	P60412	KR10B_HUMAN	reviewed	Keratin-associated protein 10-11 (High sulfur keratin-associated protein 10.11) (Keratin-associated protein 10.11) (Keratin-associated protein 18-11) (Keratin-associated protein 18.11)	KRTAP10-11 KAP10.11 KAP18-11 KRTAP10.11 KRTAP18-11 KRTAP18.11	Homo sapiens (Human)	298
132132	P60410	KR108_HUMAN	reviewed	Keratin-associated protein 10-8 (High sulfur keratin-associated protein 10.8) (Keratin-associated protein 10.8) (Keratin-associated protein 18-8) (Keratin-associated protein 18.8)	KRTAP10-8 KAP10.8 KAP18-8 KRTAP10.8 KRTAP18-8 KRTAP18.8	Homo sapiens (Human)	259
132133	P60369	KR103_HUMAN	reviewed	Keratin-associated protein 10-3 (High sulfur keratin-associated protein 10.3) (Keratin-associated protein 10.3) (Keratin-associated protein 18-3) (Keratin-associated protein 18.3)	KRTAP10-3 KAP10.3 KAP18-3 KRTAP10.3 KRTAP18-3 KRTAP18.3	Homo sapiens (Human)	221
132135	P60329	KR124_HUMAN	reviewed	Keratin-associated protein 12-4 (High sulfur keratin-associated protein 12.4) (Keratin-associated protein 12.4)	KRTAP12-4 KAP12.4 KRTAP12.4	Homo sapiens (Human)	112
132150	Q86WK7	AMGO3_HUMAN	reviewed	Amphoterin-induced protein 3 (AMIGO-3) (Alivin-3)	AMIGO3 ALI3 KIAA1851 UNQ6084/PRO20089	Homo sapiens (Human)	504
132179	Q969J2	ZKSC4_HUMAN	reviewed	Zinc finger protein with KRAB and SCAN domains 4 (P373c6.1) (Zinc finger protein 307) (Zinc finger protein 427)	ZKSCAN4 ZNF307 ZNF427	Homo sapiens (Human)	545
132223	Q6EEV6	SUMO4_HUMAN	reviewed	Small ubiquitin-related modifier 4 (SUMO-4) (Small ubiquitin-like protein 4)	SUMO4 SMT3H4	Homo sapiens (Human)	95
132240	Q5EE01	CENPW_HUMAN	reviewed	Centromere protein W (CENP-W) (Cancer-up-regulated gene 2 protein)	CENPW C6orf173 CUG2	Homo sapiens (Human)	88
132241	Q5TF21	SOGA3_HUMAN	reviewed	Protein SOGA3	SOGA3 C6orf174	Homo sapiens (Human)	947
132255	Q5SZL2	CE85L_HUMAN	reviewed	Centrosomal protein of 85 kDa-like (Serologically defined breast cancer antigen NY-BR-15)	CEP85L C6orf204	Homo sapiens (Human)	805
132265	Q7Z4R8	CF120_HUMAN	reviewed	UPF0669 protein C6orf120	C6orf120	Homo sapiens (Human)	191
132286	Q6SJ96	TBPL2_HUMAN	reviewed	TATA box-binding protein-like protein 2 (TBP-like protein 2) (TATA box-binding protein-related factor 3) (TBP-related factor 3)	TBPL2 TBP2 TRF3	Homo sapiens (Human)	375
132288	Q96CB9	NSUN4_HUMAN	reviewed	5-methylcytosine rRNA methyltransferase NSUN4 (EC 2.1.1.-) (NOL1/NOP2/Sun domain family member 4)	NSUN4	Homo sapiens (Human)	384
132289	Q8N1K5	THMS1_HUMAN	reviewed	Protein THEMIS (Thymocyte-expressed molecule involved in selection)	THEMIS C6orf190 C6orf207	Homo sapiens (Human)	641
132307	Q6T310	RSLBA_HUMAN	reviewed	Ras-like protein family member 11A	RASL11A	Homo sapiens (Human)	242
132320,132321	A5PLL7	TM189_HUMAN	reviewed	Transmembrane protein 189	TMEM189 KUA	Homo sapiens (Human)	270
132321	Q13404	UB2V1_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 variant 1 (UEV-1) (CROC-1) (TRAF6-regulated IKK activator 1 beta Uev1A)	UBE2V1 CROC1 UBE2V UEV1 P/OKcl.19	Homo sapiens (Human)	147
132378	Q1XH10	SKDA1_HUMAN	reviewed	SKI/DACH domain-containing protein 1 (Protein DLN-1)	SKIDA1 C10orf140 DLN1	Homo sapiens (Human)	908
132390	Q641Q2	WAC2A_HUMAN	reviewed	WASH complex subunit 2A	WASHC2A FAM21A FAM21B	Homo sapiens (Human)	1341
132412	Q5VZQ5	TEX36_HUMAN	reviewed	Testis-expressed protein 36	TEX36 C10orf122	Homo sapiens (Human)	186
132426	Q1MX18	INSC_HUMAN	reviewed	Protein inscuteable homolog	INSC	Homo sapiens (Human)	579
132471	Q52MB2	CC184_HUMAN	reviewed	Coiled-coil domain-containing protein 184	CCDC184 C12orf68	Homo sapiens (Human)	194
132482	Q8TAD7	OCC1_HUMAN	reviewed	Overexpressed in colon carcinoma 1 protein (OCC-1) (AGD3)	OCC1 C12orf75	Homo sapiens (Human)	63
132490	Q9NQR1	KMT5A_HUMAN	reviewed	N-lysine methyltransferase KMT5A (EC 2.1.1.-) (H4-K20-HMTase KMT5A) (Histone-lysine N-methyltransferase KMT5A) (EC 2.1.1.43) (Lysine N-methyltransferase 5A) (Lysine-specific methylase 5A) (PR/SET domain-containing protein 07) (PR-Set7) (PR/SET07) (SET domain-containing protein 8)	KMT5A PRSET7 SET07 SET8 SETD8	Homo sapiens (Human)	393
132501	B2RNN3	C1T9B_HUMAN	reviewed	Complement C1q and tumor necrosis factor-related protein 9B (C1q/TNF-related protein 9B) (CTRP9B) (Complement C1q and tumor necrosis factor-related protein 9-like)	C1QTNF9B	Homo sapiens (Human)	333
132503	Q6UWI4	SHSA2_HUMAN	reviewed	Protein shisa-2 homolog (Transmembrane protein 46)	SHISA2 C13orf13 TMEM46 UNQ9166/PRO28631	Homo sapiens (Human)	295
132506	Q5JS37	NHLC3_HUMAN	reviewed	NHL repeat-containing protein 3	NHLRC3	Homo sapiens (Human)	347
132508	Q8N6R1	SERP2_HUMAN	reviewed	Stress-associated endoplasmic reticulum protein 2 (Ribosome-associated membrane protein RAMP4-2)	SERP2 C13orf21	Homo sapiens (Human)	65
132529	Q6UXN7	TO20L_HUMAN	reviewed	TOMM20-like protein 1	TOMM20L UNQ9438/PRO34772	Homo sapiens (Human)	152
132539	A6NKG5	RTL1_HUMAN	reviewed	Retrotransposon-like protein 1 (Mammalian retrotransposon derived protein 1) (Paternally expressed gene 11 protein) (Retrotransposon-derived protein PEG11)	RTL1 MAR1 MART1 PEG11	Homo sapiens (Human)	1358
132557	Q6ZUT6	CCD9B_HUMAN	reviewed	Coiled-coil domain-containing protein 9B	CCDC9B C15orf52	Homo sapiens (Human)	534
132568	Q2T9L4	INSY1_HUMAN	reviewed	Inhibitory synaptic factor 1 (InSyn1)	INSYN1 C15orf59	Homo sapiens (Human)	293
132609	Q52WX2	SBK1_HUMAN	reviewed	Serine/threonine-protein kinase SBK1 (EC 2.7.11.1) (SH3-binding kinase 1)	SBK1	Homo sapiens (Human)	424
132622	Q6PH81	CP087_HUMAN	reviewed	UPF0547 protein C16orf87	C16orf87	Homo sapiens (Human)	154
132642	Q0VD86	INCA1_HUMAN	reviewed	Protein INCA1 (Inhibitor of CDK interacting with cyclin A1)	INCA1 HSD45	Homo sapiens (Human)	236
132643	Q6UWF3	SCIMP_HUMAN	reviewed	SLP adapter and CSK-interacting membrane protein (SLP65/SLP76, Csk-interacting membrane protein)	SCIMP C17orf87 UNQ5783/PRO16090	Homo sapiens (Human)	145
132647	Q6QAJ8	TM220_HUMAN	reviewed	Transmembrane protein 220	TMEM220	Homo sapiens (Human)	160
132670	Q8IW40	CC103_HUMAN	reviewed	Coiled-coil domain-containing protein 103	CCDC103	Homo sapiens (Human)	242
132675	Q96QA6	YPEL2_HUMAN	reviewed	Protein yippee-like 2	YPEL2 FKSG4	Homo sapiens (Human)	119
132677	Q86X59	CQ082_HUMAN	reviewed	Putative uncharacterized protein C17orf82	C17orf82	Homo sapiens (Human)	251
132700	B2RU33	POTEC_HUMAN	reviewed	POTE ankyrin domain family member C (ANKRD26-like family B member 2) (Prostate, ovary, testis-expressed protein on chromosome 18) (POTE-18)	POTEC A26B2 POTE18	Homo sapiens (Human)	542
132718	Q6ZS10	CL17A_HUMAN	reviewed	C-type lectin domain family 17, member A (Prolectin)	CLEC17A	Homo sapiens (Human)	378
132727	Q6ZS82	R9BP_HUMAN	reviewed	Regulator of G-protein signaling 9-binding protein (RGS9-anchoring protein)	RGS9BP R9AP	Homo sapiens (Human)	235
132730	Q6PG37	ZN790_HUMAN	reviewed	Zinc finger protein 790	ZNF790	Homo sapiens (Human)	636
132736	Q6QNY0	BL1S3_HUMAN	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit 3 (BLOC-1 subunit 3)	BLOC1S3 BLOS3	Homo sapiens (Human)	202
132741	Q8N4W9	ZN808_HUMAN	reviewed	Zinc finger protein 808	ZNF808	Homo sapiens (Human)	903
132744	Q86XN6	ZN761_HUMAN	reviewed	Zinc finger protein 761	ZNF761 KIAA2033	Homo sapiens (Human)	746
132751	Q6AW86	Z324B_HUMAN	reviewed	Zinc finger protein 324B	ZNF324B	Homo sapiens (Human)	544
132759	Q5TA89	HES5_HUMAN	reviewed	Transcription factor HES-5 (Class B basic helix-loop-helix protein 38) (bHLHb38) (Hairy and enhancer of split 5)	HES5 BHLHB38	Homo sapiens (Human)	166
132764	Q6ZRF8	RN207_HUMAN	reviewed	RING finger protein 207	RNF207 C1orf188	Homo sapiens (Human)	634
132771	Q6UWJ8	C16L2_HUMAN	reviewed	CD164 sialomucin-like 2 protein	CD164L2 UNQ6122/PRO20044	Homo sapiens (Human)	174
132783	Q5T700	LRAD1_HUMAN	reviewed	Low-density lipoprotein receptor class A domain-containing protein 1	LDLRAD1	Homo sapiens (Human)	205
132790	Q8N8V2	GBP7_HUMAN	reviewed	Guanylate-binding protein 7 (GTP-binding protein 7) (GBP-7) (Guanine nucleotide-binding protein 7) (Guanylate-binding protein 4-like)	GBP7 GBP4L	Homo sapiens (Human)	638
132793	Q5T7M9	FA69A_HUMAN	reviewed	Protein FAM69A	FAM69A	Homo sapiens (Human)	428
132802	Q7Z3S9	NT2NA_HUMAN	reviewed	Notch homolog 2 N-terminal-like protein A (Notch homolog 2 N-terminal-like protein)	NOTCH2NLA N2N NOTCH2NL	Homo sapiens (Human)	236
132813	Q96S90	LYSM1_HUMAN	reviewed	LysM and putative peptidoglycan-binding domain-containing protein 1	LYSMD1 SB145	Homo sapiens (Human)	227
132814	Q86YZ3	HORN_HUMAN	reviewed	Hornerin	HRNR S100A18	Homo sapiens (Human)	2850
132815	Q5D862	FILA2_HUMAN	reviewed	Filaggrin-2 (FLG-2) (Intermediate filament-associated and psoriasis-susceptibility protein) (Ifapsoriasin)	FLG2 IFPS	Homo sapiens (Human)	2391
132817	Q5VU69	CA189_HUMAN	reviewed	Uncharacterized protein C1orf189	C1orf189	Homo sapiens (Human)	101
132835	A6NHC0	CAN8_HUMAN	reviewed	Calpain-8 (EC 3.4.22.53) (New calpain 2) (nCL-2) (Stomach-specific M-type calpain)	CAPN8 NCL2	Homo sapiens (Human)	703
132839	Q5JTJ3	COA6_HUMAN	reviewed	Cytochrome c oxidase assembly factor 6 homolog	COA6 C1orf31	Homo sapiens (Human)	125
132867	Q6PEX3	KR261_HUMAN	reviewed	Keratin-associated protein 26-1	KRTAP26-1 KAP26.1	Homo sapiens (Human)	210
132908	A6NGG8	PCARE_HUMAN	reviewed	Photoreceptor cilium actin regulator	PCARE C2orf71	Homo sapiens (Human)	1288
132915	Q8N831	TSYL6_HUMAN	reviewed	Testis-specific Y-encoded-like protein 6 (TSPY-like protein 6)	TSPYL6	Homo sapiens (Human)	410
132922	Q53S33	BOLA3_HUMAN	reviewed	BolA-like protein 3	BOLA3	Homo sapiens (Human)	107
132926	Q2NKX9	CB068_HUMAN	reviewed	UPF0561 protein C2orf68	C2orf68	Homo sapiens (Human)	166
132934	Q6AI14	SL9A4_HUMAN	reviewed	Sodium/hydrogen exchanger 4 (Na(+)/H(+) exchanger 4) (NHE-4) (Solute carrier family 9 member 4)	SLC9A4 NHE4	Homo sapiens (Human)	798
132951	Q6BEB4	SP5_HUMAN	reviewed	Transcription factor Sp5	SP5	Homo sapiens (Human)	398
132963	Q6UX34	SNORC_HUMAN	reviewed	Protein SNORC (Secondary ossification center-associated regulator of chondrocyte maturation protein)	SNORC C2orf82 UNQ830/PRO1757	Homo sapiens (Human)	121
132979	Q6ZS27	ZN662_HUMAN	reviewed	Zinc finger protein 662	ZNF662	Homo sapiens (Human)	426
132984	Q96EL1	INKA1_HUMAN	reviewed	PAK4-inhibitor INKA1 (Induced in neural crest by AP2-alpha protein homolog) (HInca) (Inka box actin regulator 1)	INKA1 C3orf54 FAM212A	Homo sapiens (Human)	285
132986	Q8IXL9	IQCF2_HUMAN	reviewed	IQ domain-containing protein F2	IQCF2	Homo sapiens (Human)	164
132988	Q8IVN3	MSTN1_HUMAN	reviewed	Musculoskeletal embryonic nuclear protein 1	MUSTN1	Homo sapiens (Human)	82
132991	A8MV65	VGLL3_HUMAN	reviewed	Transcription cofactor vestigial-like protein 3 (Vgl-3)	VGLL3	Homo sapiens (Human)	326
133002	Q6ZRT6	PR23B_HUMAN	reviewed	Proline-rich protein 23B	PRR23B	Homo sapiens (Human)	265
133009	A6NFN9	ANKUB_HUMAN	reviewed	Protein ANKUB1 (Ankyrin repeat and ubiquitin domain-containing 1)	ANKUB1 C3orf16	Homo sapiens (Human)	502
133020	A6NML5	TM212_HUMAN	reviewed	Transmembrane protein 212	TMEM212	Homo sapiens (Human)	194
133034	Q8N5G0	SIM20_HUMAN	reviewed	Small integral membrane protein 20 (Mitochondrial translation regulation assembly intermediate of cytochrome c oxidase protein of 7 kDa) (MITRAC7)	SMIM20 C4orf52 MITRAC7	Homo sapiens (Human)	67
133036	Q6ZU67	BEND4_HUMAN	reviewed	BEN domain-containing protein 4 (Coiled-coil domain-containing protein 4)	BEND4 CCDC4	Homo sapiens (Human)	534
133074	Q3ZCQ2	AX2R_HUMAN	reviewed	Annexin-2 receptor (Annexin II receptor) (AXIIR)	ANXA2R AX2R C5orf39	Homo sapiens (Human)	193
133099	Q6UWT4	CE046_HUMAN	reviewed	Uncharacterized protein C5orf46	C5orf46 UNQ472/PRO839	Homo sapiens (Human)	87
133100	A1IGU5	ARH37_HUMAN	reviewed	Rho guanine nucleotide exchange factor 37	ARHGEF37	Homo sapiens (Human)	675
133110	Q5JS54	PSMG4_HUMAN	reviewed	Proteasome assembly chaperone 4 (PAC-4) (hPAC4)	PSMG4 C6orf86 PAC4	Homo sapiens (Human)	123
133117	Q6UW10	SFTA2_HUMAN	reviewed	Surfactant-associated protein 2 (Surfactant-associated protein G) (SP-G)	SFTA2 SFTPG UNQ541/PRO1098	Homo sapiens (Human)	78
133128	Q5SZD4	GLYL3_HUMAN	reviewed	Glycine N-acyltransferase-like protein 3 (EC 2.3.1.-)	GLYATL3 C6orf140	Homo sapiens (Human)	288
133142	Q6ZN17	LN28B_HUMAN	reviewed	Protein lin-28 homolog B (Lin-28B)	LIN28B CSDD2	Homo sapiens (Human)	250
133150	Q6PHW0	IYD1_HUMAN	reviewed	Iodotyrosine deiodinase 1 (IYD-1) (EC 1.21.1.1) (Iodotyrosine dehalogenase 1)	IYD C6orf71 DEHAL1	Homo sapiens (Human)	289
133162	A6NFI3	ZN316_HUMAN	reviewed	Zinc finger protein 316	ZNF316	Homo sapiens (Human)	1004
133172	Q6EKJ0	GTD2B_HUMAN	reviewed	General transcription factor II-I repeat domain-containing protein 2B (GTF2I repeat domain-containing protein 2B) (Transcription factor GTF2IRD2-beta)	GTF2IRD2B	Homo sapiens (Human)	949
133178	Q0VGL1	LTOR4_HUMAN	reviewed	Ragulator complex protein LAMTOR4 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 4) [Cleaved into: Ragulator complex protein LAMTOR4, N-terminally processed]	LAMTOR4 C7orf59	Homo sapiens (Human)	99
133180	A0PJY2	FEZF1_HUMAN	reviewed	Fez family zinc finger protein 1 (Zinc finger protein 312B)	FEZF1 FEZ ZNF312B	Homo sapiens (Human)	475
133227	Q8IXT5	RB12B_HUMAN	reviewed	RNA-binding protein 12B (RNA-binding motif protein 12B)	RBM12B	Homo sapiens (Human)	1001
